main_strategy	date	id	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	performance	nav	assets	mktrf	smb	hml	rf
2	20021031	12825	1.1875	4.5	0.875	4448	5	-0.1517125	8204.355	82.99833333	7.84	-2.86	-5.4	0.14
2	20021130	12825	1.1875	4.5	0.875	4448	5	1.4322	8637.165	86.28333333	5.96	2.95	-0.95	0.12
2	20021231	12825	1.1875	4.5	0.875	4448	5	-0.3086625	8223.14	82.09	-5.76	0	2.21	0.11
2	20030131	12825	1.1875	4.5	0.875	4448	5	0.3616	8187.38	80.785	-2.57	1.44	-0.83	0.1
2	20030228	12677	1.188888889	5.111111111	0.888888889	4150.777778	5	-0.345744444	5428.786667	80.13166667	-1.88	-0.35	-1.47	0.09
2	20030331	12677	1.188888889	5.111111111	0.888888889	4150.777778	5	0.400133333	5446.89	80.52166667	1.09	1	-1.93	0.1
2	20030430	12677	1.188888889	5.111111111	0.888888889	4150.777778	5	1.749622222	5795.64	84.32333333	8.22	0.61	1.11	0.1
2	20030531	12677	1.188888889	5.111111111	0.888888889	4150.777778	5	2.195477778	6091.463333	89.915	6.05	4.84	-0.1	0.09
2	20030630	12550	1.095	5.6	0.9	3972.1	5	1.221	6231.076667	82.14	1.42	1.6	0.57	0.1
2	20030731	13387	1.077777778	5.666666667	0.888888889	4256.111111	5	1.0639	6434.573333	113.6616667	2.35	5.34	-1.02	0.07
2	20030831	13579	1.095	7.1	0.9	4200.6	5	1.22583	6573.603333	120.7266667	2.34	2.65	2.1	0.07
2	20030930	13579	1.095	7.1	0.9	4200.6	5	1.205	6553.3	126.9483333	-1.24	0.81	0.01	0.08
2	20031031	13579	1.095	7.1	0.9	4200.6	5	2.27433	6830.103333	138.9466667	6.08	2.81	1.93	0.07
2	20031130	13579	1.095	7.1	0.9	4200.6	5	0.62764	6895.136667	141.7616667	1.35	2.16	1.96	0.07
2	20031231	13579	1.095	7.1	0.9	4200.6	5	1.74433	7139.683333	140.2083333	4.29	-3.05	2.35	0.08
2	20040131	13579	1.095	7.1	0.9	4200.6	5	1.53518	7281.183333	150.3816667	2.15	2.74	1.96	0.07
2	20040229	13579	1.095	7.1	0.9	4200.6	5	1.19597	7400.83	158.5266667	1.4	-1.43	0.48	0.06
2	20040331	13579	1.095	7.1	0.9	4200.6	5	0.93169	7369.106667	160.1816667	-1.32	1.77	0.25	0.09
2	20040430	13579	1.095	7.1	0.9	4200.6	5	-0.225	7256.41	175.985	-1.83	-2.12	-2.62	0.08
2	20040531	13579	1.095	7.1	0.9	4200.6	5	-0.76373	7241.603333	200.4133333	1.17	-0.19	-0.35	0.06
2	20040630	13579	1.095	7.1	0.9	4200.6	5	0.99676	7376.87	214.3716667	1.86	2.23	1.35	0.08
2	20040731	13579	1.095	7.1	0.9	4200.6	5	-0.69804	7259.583333	238.2666667	-4.06	-3.8	4.09	0.1
2	20040831	13579	1.095	7.1	0.9	4200.6	5	0.17997	7277.246667	243.635	0.08	-1.59	0.96	0.11
2	20040930	13579	1.095	7.1	0.9	4200.6	5	0.94992	7438.1	266.96	1.6	3.05	-0.24	0.11
2	20041031	13579	1.095	7.1	0.9	4200.6	5	0.68501	7549.106667	274.0866667	1.43	0.33	-0.56	0.11
