id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
3632	1	1	20	1	1538	2	20021130	0.98		111.67	5.96	2.95	-0.95	0.12
3632	1	1	20	1	1538	2	20021231	-3.59		107.67	-5.76	0	2.21	0.11
3632	1	1	20	1	1538	2	20030131	-0.1911		102.34	-2.57	1.44	-0.83	0.1
3632	1	1	20	1	1538	2	20030228	-2.8722		99.65	-1.88	-0.35	-1.47	0.09
3632	1	1	20	1	1538	2	20030331	-1.97		97.91	1.09	1	-1.93	0.1
3632	1	1	20	1	1538	2	20030430	1.01		96.93	8.22	0.61	1.11	0.1
3632	1	1	20	1	1538	2	20030531	3.43		100.8	6.05	4.84	-0.1	0.09
3632	1	1	20	1	1538	2	20030630	2.12		99.82	1.42	1.6	0.57	0.1
3632	1	1	20	1	1538	2	20030731	2.88		95.26	2.35	5.34	-1.02	0.07
3632	1	1	20	1	1538	2	20030831	4.86		100.77	2.34	2.65	2.1	0.07
3632	1	1	20	1	1538	2	20030930	1.92		103.1	-1.24	0.81	0.01	0.08
3632	1	1	20	1	1538	2	20031031	5.71		111.07	6.08	2.81	1.93	0.07
3632	1	1	20	1	1538	2	20031130	-3.49		106.39	1.35	2.16	1.96	0.07
3632	1	1	20	1	1538	2	20031231	4.79		112.38	4.29	-3.05	2.35	0.08
3632	1	1	20	1	1538	2	20040131	-1.4848		103.66	2.15	2.74	1.96	0.07
3632	1	1	20	1	1538	2	20040229	0.2037		103.95	1.4	-1.43	0.48	0.06
3632	1	1	20	1	1538	2	20040331	0.2846		104.16	-1.32	1.77	0.25	0.09
3632	1	1	20	1	1538	2	20040430	-0.1216		99.34	-1.83	-2.12	-2.62	0.08
3632	1	1	20	1	1538	2	20040531	-6.17		93.18	1.17	-0.19	-0.35	0.06
3632	1	1	20	1	1538	2	20040630	-0.87		92.46	1.86	2.23	1.35	0.08
3632	1	1	20	1	1538	2	20040731	-2.36		70.84	-4.06	-3.8	4.09	0.1
3632	1	1	20	1	1538	2	20040831	-0.85		70.08	0.08	-1.59	0.96	0.11
3632	1	1	20	1	1538	2	20040930	1.34		71.35	1.6	3.05	-0.24	0.11
3632	1	1	20	1	1538	2	20041031	0.81		54.05	1.43	0.33	-0.56	0.11
3632	1	1	20	1	1538	2	20041130	7.28		58	4.54	3.9	1.81	0.15
3632	1	1	20	1	1538	2	20041231	0.04		58.02	3.43	0.16	-0.04	0.16
3632	1	1	20	1	1538	2	20050131	-2.014		51.94	-2.76	-1.53	1.95	0.16
3632	1	1	20	1	1538	2	20050228	3.943		54.37	1.89	-0.49	1.65	0.16
3632	1	1	20	1	1538	2	20050331	-3.5513		52.61	-1.97	-1.42	1.54	0.21
3632	1	1	20	1	1538	2	20050430	-3.05		49.01	-2.61	-4	-0.35	0.21
3632	1	1	20	1	1538	2	20050531	0		49.08	3.65	2.87	-0.81	0.24
3632	1	1	20	1	1538	2	20050630	1.34		49.5	0.57	2.59	2.69	0.23
3632	1	1	20	1	1538	2	20050731	2.2147		44.22	3.92	2.89	-0.54	0.24
3632	1	1	20	1	1538	2	20050831	-0.5417		43.51	-1.22	-0.93	1.27	0.3
3632	1	1	20	1	1538	2	20050930	5.6556		46.66	0.49	-0.58	0.76	0.29
3632	1	1	20	1	1538	2	20051031	-1.1895		45.83	-2.02	-1.21	0.25	0.27
3632	1	1	20	1	1538	2	20051130	4.9358		48.67	3.61	0.89	-1.19	0.31
3632	1	1	20	1	1538	2	20051231	7.49		53.18	-0.25	-0.49	0.4	0.32
3632	1	1	20	1	1538	2	20060131	3.81		54.31	3.04	5.43	1.12	0.35
3632	1	1	20	1	1538	2	20060228	-4.08		51.63	-0.3	-0.38	-0.25	0.34
3632	1	1	20	1	1538	2	20060331	6.69		54.57	1.46	3.51	0.51	0.37
3632	1	1	20	1	1538	2	20060430	0		56.52	0.73	-1.34	2.61	0.36
3632	1	1	20	1	1538	2	20060531	-4.96		53.21	-3.57	-3.03	2.57	0.43
3632	1	1	20	1	1538	2	20060630	-1.09		52.72	-0.35	-0.38	0.86	0.4
3632	1	1	20	1	1538	2	20060731	0.04		45.97	-0.78	-4.07	2.92	0.4
3632	1	1	20	1	1538	2	20060831	-0.68		45.28	2.03	0.92	-1.72	0.42
3632	1	1	20	1	1538	2	20060930	0.83		45.9	1.84	-1.36	0.03	0.41
3632	1	1	20	1	1538	2	20061031	2.5988		38	3.23	1.75	-0.05	0.41
3632	1	1	20	1	1538	2	20061130	4.2332		39.9	1.71	0.86	0.04	0.42
